Var1,Var2,Var3,Var4,Var5
0,2.1054447306527,0.2247,1.80151760578156,0.3556
1,1.80419479152303,0.3358,5.65765428543091,0.2
2,1.42222469618291,0.4568,9.78186416625977,0.1333
3,1.30077720777488,0.5383,8.78930759429932,0.1778
4,1.43006227163621,0.5086,6.89711046218872,0.2
5,1.28861365612642,0.5778,10.0970401763916,0.2667
6,1.08887568520911,0.6025,1.7188446521759,0.5111
7,1.03065950899948,0.6321,3.40650796890259,0.3111
8,0.93857509471752,0.6642,8.70202732086182,0.1778
9,1.21462321458039,0.5901,3.87122631072998,0.1333
10,1.24904590212269,0.5728,2.91126537322998,0.4
11,1.14229903338868,0.5901,1.01895952224731,0.6444
12,1.08311669473295,0.5802,5.01212882995605,0.2
13,0.951084717997798,0.6173,3.62971925735474,0.3333
14,0.712380746853204,0.7259,1.65130007266998,0.4889
15,0.833141760031382,0.7407,3.51510405540466,0.4222
16,0.835691324575448,0.6963,4.49925184249878,0.3333
17,0.940770962650393,0.6346,1.47485482692719,0.6444
18,0.937807159806475,0.6716,0.658092021942139,0.7556
19,0.924293531606227,0.6716,2.15255188941956,0.5111
20,0.998725688015973,0.6074,3.12603902816772,0.2222
21,0.776214994913266,0.679,2.53851819038391,0.4222
22,0.76079055438807,0.7235,1.20185232162476,0.7111
23,0.810947330792745,0.6889,1.73519468307495,0.4889
24,0.80870546264413,0.6988,0.916146993637085,0.6444
25,0.814926778828656,0.716,2.30159974098206,0.3778
26,0.77402329047521,0.7111,1.80774247646332,0.5111
27,0.808892129527198,0.7062,3.6393039226532,0.3111
28,0.733707681408635,0.7333,2.31578159332275,0.3333
29,0.790556174590264,0.679,1.84049534797668,0.3556
30,0.713203358355864,0.7358,3.16040349006653,0.4
31,0.760898368226157,0.7259,1.11997044086456,0.6222
32,0.600867564589889,0.7753,1.28839981555939,0.6444
33,0.620807529084476,0.7753,0.304878830909729,0.8889
34,0.764621288688095,0.7654,14.0341081619263,0.3111
35,0.778194000102856,0.7111,9.54754734039307,0.2889
36,0.765603206481463,0.6889,3.55026459693909,0.4222
37,0.802493189882349,0.6938,2.41551184654236,0.4667
38,0.780479782451818,0.679,1.47989022731781,0.5111
39,0.610544525252448,0.758,1.20158350467682,0.5556
40,0.588396175113725,0.7951,1.40382647514343,0.5778
41,0.522080876503462,0.8,1.78749859333038,0.5333
42,0.576982280354441,0.7877,0.761344254016876,0.7333
43,0.619012226440288,0.7704,1.94104254245758,0.5333
44,0.572210482314781,0.7728,2.13442015647888,0.4667
45,0.607942328776842,0.7778,2.30196404457092,0.4667
46,0.682492504296479,0.7506,1.08369672298431,0.6444
47,0.581030963085316,0.7605,1.13895344734192,0.5556
48,0.538916647287063,0.8247,2.14967703819275,0.4667
49,0.548016943166285,0.7827,1.22027826309204,0.6889
50,0.541593793807206,0.7901,1.16119956970215,0.7333
51,0.587141491601497,0.8123,0.42580845952034,0.8667
52,0.51518323553933,0.8198,1.35034155845642,0.6444
53,0.619218652483858,0.763,1.5350935459137,0.5778
54,0.653362303162798,0.7481,2.75104117393494,0.4222
55,0.664613743917442,0.7432,2.15407538414001,0.5778
56,0.57535074757941,0.7827,2.01951932907104,0.4667
57,0.650951980367119,0.7506,2.08207726478577,0.2667
58,0.514338357654619,0.8074,0.89083343744278,0.5778
59,0.455612607208299,0.8247,1.33706653118134,0.5556
60,0.441704697667817,0.8444,0.821414411067963,0.7556
61,0.712702488310543,0.7778,1.16813743114471,0.6667
62,0.608713973304372,0.7679,2.48902177810669,0.5333
63,0.733169631899139,0.7358,1.69714200496674,0.4889
64,0.576105521343372,0.7654,0.523312866687775,0.7556
65,0.633526689329265,0.7802,2.19734406471252,0.5556
66,0.610826404006393,0.7852,0.928526282310486,0.6889
67,0.644642039581581,0.7802,1.71048665046692,0.6444
68,0.534850813430033,0.8173,1.63247513771057,0.4444
69,0.434107332023573,0.8469,1.37903130054474,0.6
70,0.585689860214422,0.8025,1.34548437595367,0.5778
71,0.609057130048304,0.7778,1.34680187702179,0.5778
72,0.601492305449497,0.7556,1.18067300319672,0.6444
73,0.652270209789276,0.7802,0.927226662635803,0.6
74,0.55384266052717,0.7704,1.62414622306824,0.4222
75,0.463304845344873,0.8247,0.530727803707123,0.7556
76,0.557584053204383,0.8222,1.94122672080994,0.6
77,0.577903294416122,0.7951,0.726018011569977,0.7556
78,0.593025302445447,0.7926,2.0804169178009,0.5556
79,0.675893286422447,0.7679,0.490447908639908,0.8444
80,0.564826495853471,0.7901,1.1043461561203,0.5556
81,0.447768810354633,0.8469,0.386071860790253,0.8
82,0.447408033300329,0.8444,2.68609189987183,0.6
83,0.595451886859941,0.8074,2.24691367149353,0.6444
84,0.647431892230187,0.758,3.48780083656311,0.3556
85,0.584361459590771,0.7877,4.16976737976074,0.3111
86,0.603562996122572,0.7827,0.538105547428131,0.7778
87,0.582418557302451,0.8049,1.67783749103546,0.5556
88,0.510333587799543,0.8296,0.693123936653137,0.6889
89,0.498912387718389,0.8148,2.47100329399109,0.5333
90,0.512240024554877,0.8222,0.241606146097183,0.9111
91,0.503239036268658,0.8296,1.13723421096802,0.6667
92,0.50333548563498,0.8296,0.672985315322876,0.7778
93,0.477130074707078,0.8444,0.563024878501892,0.8222
94,0.34430051445961,0.879,0.657711982727051,0.7111
95,0.542269863832144,0.8,0.711743474006653,0.7111
96,0.463422277827322,0.8148,0.437887668609619,0.8444
97,0.405373019421542,0.8741,1.71375870704651,0.5556
98,0.46689963016981,0.8247,2.36340951919556,0.5333
